,id_peli,titulo,año,pais,tipo,puntuacion,votos,decada
303,9156,Remordimientos,1941,Francia,Película,7.53,262,1940
304,10932,Sangre y arena,1941,Estados Unidos,Película,6.23,763,1940
305,10951,"Ni sangre, ni arena",1941,México,Película,5.42,135,1940
306,282,Casablanca,1942,Estados Unidos,Película,8.36,95386,1940
307,662,Bambi,1942,Estados Unidos,Película,6.54,72259,1940
308,866,El cuarto mandamiento,1942,Estados Unidos,Película,7.69,6620,1940
309,1824,Aniki-Bóbó,1942,Portugal,Película,7.11,384,1940
310,1863,El orgullo de los Yanquis,1942,Estados Unidos,Película,7.01,1221,1940
311,2190,Gentleman Jim,1942,Estados Unidos,Película,7.6,1471,1940
312,2362,El cisne negro,1942,Estados Unidos,Película,6.75,1725,1940
313,2498,La mujer pantera,1942,Estados Unidos,Película,7.28,7845,1940
314,2861,Las mil y una noches,1942,Estados Unidos,Película,5.76,316,1940
315,3105,El libro de la selva,1942,Estados Unidos,Película,5.93,1022,1940
316,3272,Ser o no ser,1942,Estados Unidos,Película,8.53,34148,1940
317,3328,Un marido rico,1942,Estados Unidos,Película,7.19,1476,1940
318,3338,Bailando nace el amor,1942,Estados Unidos,Película,6.52,613,1940
319,3346,Anillos en sus dedos,1942,Estados Unidos,Película,6.24,123,1940
320,3359,El asunto del día,1942,Estados Unidos,Película,7.13,1056,1940
321,6018,Rojo y negro,1942,España,Película,6.25,828,1940
322,8035,Cuatro pasos por las nubes,1942,Italia,Película,7.53,134,1940
323,8430,Saludos Amigos,1942,Estados Unidos,Película,5.6,904,1940
324,8755,Piratas del mar Caribe,1942,Estados Unidos,Película,6.61,1216,1940
325,9003,La señora Miniver,1942,Estados Unidos,Película,7.16,2693,1940
326,9009,Yanqui Dandy,1942,Estados Unidos,Película,6.66,943,1940
327,9026,Preludio a la guerra,1942,Estados Unidos,Película,6.39,316,1940
328,9157,Los visitantes de la noche,1942,Francia,Película,6.49,221,1940
329,9779,Sherlock Holmes y el arma secreta,1942,Estados Unidos,Película,5.97,897,1940
330,9791,La voz del terror,1942,Estados Unidos,Película,5.81,488,1940
331,2145,Fires Were Started,1943,Reino Unido,Película,6.22,91,1940
332,2233,Dies irae,1943,Dinamarca,Película,8.14,5663,1940
333,3316,El diablo dijo no,1943,Estados Unidos,Película,7.48,3555,1940
334,3337,El amor llamó dos veces,1943,Estados Unidos,Película,6.78,614,1940
335,5999,Por quién doblan las campanas,1943,Estados Unidos,Película,6.27,2997,1940
336,6715,Vida y muerte del Coronel Blimp,1943,Reino Unido,Película,7.43,1335,1940
337,6982,Tres días de amor y fe,1943,Estados Unidos,Película,5.04,196,1940
338,7025,La leyenda del gran judo,1943,Japón,Película,6.42,791,1940
339,7066,Mr. Lucky,1943,Estados Unidos,Película,6.5,373,1940
340,8022,Obsesión (Ossessione),1943,Italia,Película,7.36,1423,1940
341,8198,El fantasma de la ópera,1943,Estados Unidos,Película,6.27,1172,1940
342,8500,El bombardero heroico,1943,Estados Unidos,Película,6.43,264,1940
343,8507,El 7 de diciembre,1943,Estados Unidos,Película,6.29,63,1940
344,9002,Los verdugos también mueren,1943,Estados Unidos,Película,7.69,2819,1940
345,9007,Sahara,1943,Estados Unidos,Película,6.71,1086,1940
346,9019,La estrella del norte,1943,Estados Unidos,Película,5.92,383,1940
347,9036,Misión en Moscú,1943,Estados Unidos,Película,6.75,198,1940
348,9158,Goupi mains rouges,1943,Francia,Película,6.98,155,1940
349,9162,Luz de verano,1943,Francia,Película,7.26,100,1940
350,9478,La séptima víctima,1943,Estados Unidos,Película,6.41,813,1940
351,9551,Yo anduve con un zombie,1943,Estados Unidos,Película,7.1,4653,1940
352,9794,Sherlock Holmes y la mujer araña,1943,Estados Unidos,Película,6.23,425,1940
353,10533,Destino Tokio,1943,Estados Unidos,Película,6.56,916,1940
354,10549,Acción en el Atlántico Norte,1943,Estados Unidos,Película,6.01,311,1940
355,10557,Tiburones de acero,1943,Estados Unidos,Película,5.7,221,1940
356,10878,Titanic,1943,Alemania,Película,5.81,144,1940
357,1369,Arsénico por compasión,1944,Estados Unidos,Película,8.03,22981,1940
358,2306,Fuego de juventud,1944,Estados Unidos,Película,6.05,347,1940
359,3344,"Ella, él y sus millones",1944,España,Película,5.98,197,1940
360,3351,Mundo celestial,1944,Estados Unidos,Película,4.94,47,1940
361,5964,Estirpe de dragón,1944,Estados Unidos,Película,6.51,379,1940
362,8226,Misterio en la ópera,1944,Estados Unidos,Película,5.4,91,1940
363,8428,Los tres caballeros,1944,Estados Unidos,Película,6.29,3335,1940
364,8705,La mujer del cuadro,1944,Estados Unidos,Película,8.11,15528,1940
365,9012,Días de gloria,1944,Estados Unidos,Película,6.23,659,1940
366,9013,Treinta segundos sobre Tokio,1944,Estados Unidos,Película,6.34,569,1940
367,9022,La más bella,1944,Japón,Película,5.67,353,1940
368,9163,El cielo os pertenece,1944,Francia,Película,7.38,77,1940
