id_peli,titulo,año,pais,tipo,puntuacion,votos
7209,Mary Shelley,2017,Reino Unido,Película,6.15,3471
7210,Oldboy,2003,Corea del Sur,Película,7.87,66796
7211,Æon Flux,2005,Estados Unidos,Película,4.26,14287
7212,Ichi the Killer,2001,Japón,Película,6.29,9366
7213,Death Note,2017,Estados Unidos,Película,3.52,9255
7214,Casshern,2004,Japón,Película,5.08,4483
7215,Death Note: La película,2006,Japón,Película,5.72,3959
7216,Historia de Ricky,1991,Hong Kong,Película,5.79,3744
7217,Crying Freeman: Los paraísos perdidos,1995,Francia,Película,5.43,3526
7218,Nuestra hermana pequeña,2015,Japón,Película,6.95,3237
7219,Alice in Borderland (Serie de TV),2020,Japón,Serie de TV,6.62,3227
7220,Death Note: El último nombre,2006,Japón,Película,6.01,2525
7221,Gantz: Génesis (Gantz: Part 1),2010,Japón,Película,5.78,2403
7222,Crows Zero,2007,Japón,Película,6.16,2206
7223,Ataque a los Titanes,2015,Japón,Película,4.33,2122
7224,Blood: El último vampiro,2009,Hong Kong,Película,4.49,1859
7225,Gantz: Perfect Answer (Gantz: Part 2),2011,Japón,Película,5.43,1406
7226,Parásito. Parte 1,2014,Japón,Película,6.03,1283
7227,Lady Snowblood,1973,Japón,Película,7.22,1267
7228,20th Century Boys - Capítulo 1: El Principio del Fin,2008,Japón,Película,6.23,1158
7229,Terra Formars,2016,Japón,Película,4.07,1122
7230,Crows II,2009,Japón,Película,6.2,1076
7231,Space Battleship Yamato,2010,Japón,Película,5.0,1013
7232,Fullmetal Alchemist,2017,Japón,Película,3.86,986
7233,Phoenix Wright: Ace Attorney,2012,Japón,Película,5.42,947
7234,Bleach,2018,Japón,Película,5.3,937
7235,Museum,2016,Japón,Película,5.41,863
7236,Inuyashiki,2018,Japón,Película,5.8,860
7237,Parásito. Parte 2,2015,Japón,Película,5.62,845
7238,Dororo,2007,Japón,Película,5.43,779
7239,Illang: La brigada del lobo,2018,Corea del Sur,Película,4.95,755
7240,City Hunter (Cazador de ciudad),1993,Hong Kong,Película,4.85,734
7241,L: Change the World,2008,Japón,Película,5.16,701
7242,Initial D. Derrapando al límite,2005,Hong Kong,Película,5.54,684
7243,Looney Tunes (Serie de TV),1930,Estados Unidos,Serie de TV,7.1,32314
7244,El correcaminos (Serie de TV),1966,Estados Unidos,Serie de TV,7.01,23353
7245,Looney Tunes: De nuevo en acción,2003,Estados Unidos,Película,4.27,6182
7246,Las aventuras de los Tiny Toons (Serie de TV),1990,Estados Unidos,Serie de TV,5.27,3118
7247,Duck Amuck (Pato aturdido) (C),1953,Estados Unidos,Cortometraje,7.28,2499
7248,El conejo de Sevilla (C),1950,Estados Unidos,Cortometraje,7.13,1798
7249,"What's Opera, Doc? (C)",1957,Estados Unidos,Cortometraje,7.16,1682
7250,Baby Looney Tunes (Serie de TV),2002,Estados Unidos,Serie de TV,4.43,1649
7251,El Coyote y el Correcaminos: Rápido y rabioso (C),1949,Estados Unidos,Cortometraje,7.08,1379
7252,One Froggy Evening (C),1955,Estados Unidos,Cortometraje,7.13,1318
7253,Tazmania (Serie de TV),1991,Estados Unidos,Serie de TV,5.25,1292
7254,El Coyote y el Correcaminos: Estate preparado (C),1961,Estados Unidos,Cortometraje,6.95,1210
7255,Dulce Piolín (C),1947,Estados Unidos,Cortometraje,6.44,1188
7256,El pato Dodgers en el siglo 24 y medio (C),1953,Estados Unidos,Cortometraje,6.95,1072
7257,Pepe le Pew: Por razones sentimentales (C),1949,Estados Unidos,Cortometraje,6.35,754
7258,La película de Bugs Bunny y el Correcaminos,1979,Estados Unidos,Película,6.8,620
7259,El Coyote y el Correcaminos: Coyote Falls (C),2010,Estados Unidos,Cortometraje,6.08,609
7260,Long-Haired Hare (C),1949,Estados Unidos,Cortometraje,7.11,603
7261,"El Coyote y el Correcaminos: Beep, Beep (C)",1952,Estados Unidos,Cortometraje,6.98,507
7262,"Muere, Correcaminos, muere (TV) (C)",2010,Estados Unidos,Cortometraje,6.03,474
7263,El Coyote y el Correcaminos: Gee Whiz-z-z-z-z-z-z (C),1956,Estados Unidos,Cortometraje,6.81,465
7264,Bully for Bugs (C),1953,Estados Unidos,Cortometraje,6.56,464
7265,High Note (C),1960,Estados Unidos,Cortometraje,6.83,457
7266,Pajareros anónimos (C),1957,Estados Unidos,Cortometraje,6.64,444
7267,El Coyote y el Correcaminos: Going! Going! Gosh! (C),1952,Estados Unidos,Cortometraje,6.83,441
7268,El Coyote y el Correcaminos: To Beep or Not to Beep (C),1963,Estados Unidos,Cortometraje,6.83,436
7269,Porky in Wackyland (C),1938,Estados Unidos,Cortometraje,6.8,424
7270,"El Coyote y el Correcaminos: Whoa, Be-Gone! (C)",1958,Estados Unidos,Cortometraje,6.88,410
7271,Robin Hood Daffy (C),1958,Estados Unidos,Cortometraje,6.68,395
7272,Quiero al gatito (C),1952,Estados Unidos,Cortometraje,6.64,393
7273,El Coyote y el Correcaminos: Zoom and Bored (C),1957,Estados Unidos,Cortometraje,6.88,392
7274,El Coyote y el Correcaminos: Fur of Flying (C),2010,Estados Unidos,Cortometraje,5.65,391
7275,El Coyote y el Correcaminos: There They Go-Go-Go! (C),1956,Estados Unidos,Cortometraje,6.7,373
7276,"El Coyote y el Correcaminos: Ready, Set, Zoom! (C)",1955,Estados Unidos,Cortometraje,6.73,367
7277,Ali Baba Bunny (C),1957,Estados Unidos,Cortometraje,6.34,365
7278,Hare-Way to the Stars (C),1958,Estados Unidos,Cortometraje,6.56,361
7279,The Looney Tunes Show (Serie de TV),2011,Estados Unidos,Serie de TV,6.28,360
7280,El Coyote y el Correcaminos: Hopalong Casualty (C),1960,Estados Unidos,Cortometraje,6.72,338
7281,El Coyote y el Correcaminos: Stop! Look! and Hasten! (C),1954,Estados Unidos,Cortometraje,6.76,335
