id_peli,id_act
402,47
686,47
937,47
986,47
1023,47
1031,47
1038,47
1102,47
1112,47
1141,47
1204,47
1843,47
1877,47
2052,47
2936,47
4029,47
4841,47
5698,47
5721,47
6357,47
6376,47
6837,47
7036,47
7481,47
7499,47
7699,47
8526,47
8875,47
9338,47
9450,47
9487,47
9839,47
10186,47
10386,47
6,48
988,48
6,49
26,49
880,49
5582,49
9362,49
6,50
7,51
7,52
7,53
1978,53
7,54
7,55
7,56
815,56
2030,56
7,57
7,58
7,59
7,60
8,61
238,61
317,61
2031,61
2038,61
2049,61
3219,61
3300,61
3453,61
3888,61
5502,61
5687,61
5877,61
6432,61
7977,61
9069,61
10313,61
10389,61
8,62
69,62
85,62
290,62
381,62
1134,62
1482,62
1769,62
1800,62
2094,62
2103,62
2278,62
2424,62
3389,62
3681,62
3709,62
6320,62
6515,62
6533,62
6631,62
6830,62
6962,62
7400,62
7962,62
9093,62
9348,62
8,63
1433,63
1486,63
2144,63
2410,63
3398,63
7480,63
7910,63
9447,63
10295,63
8,64
1128,64
1816,64
3064,64
3707,64
3784,64
3787,64
7446,64
9444,64
8,65
680,65
700,65
1111,65
7419,65
11316,65
8,66
116,66
136,66
447,66
761,66
853,66
1099,66
1381,66
1486,66
1493,66
2108,66
2613,66
3273,66
4082,66
4177,66
4182,66
4186,66
4195,66
4722,66
4731,66
4797,66
4967,66
6097,66
6141,66
6599,66
6638,66
6734,66
8702,66
8875,66
8888,66
9180,66
9239,66
9774,66
10062,66
10101,66
10285,66
11043,66
8,67
8,68
1116,68
2279,68
3269,68
3767,68
8,69
7445,69
10412,69
8,70
4875,70
5297,70
5943,70
6518,70
6543,70
10991,70
9,71
50,71
59,71
76,71
86,71
600,71
1527,71
2228,71
2616,71
3174,71
3189,71
5350,71
7397,71
7400,71
7402,71
9,72
6159,72
9,73
144,73
5742,73
6840,73
9,74
1612,74
2918,74
2925,74
5813,74
6661,74
6873,74
8532,74
10118,74
10243,74
10307,74
9,75
8051,75
9,76
391,76
2712,76
3864,76
3870,76
6344,76
10735,76
9,77
1639,77
7405,77
9,78
6156,78
11,79
56,79
576,79
687,79
942,79
988,79
1057,79
1076,79
1204,79
1866,79
4181,79
4986,79
6277,79
6281,79
6834,79
7204,79
7447,79
7619,79
8592,79
8603,79
8619,79
11490,79
11,80
761,80
1900,80
4700,80
6759,80
11,81
236,81
335,81
867,81
1105,81
1167,81
1191,81
1609,81
2266,81
2327,81
3213,81
3545,81
3832,81
4883,81
5009,81
5172,81
6356,81
9739,81
10984,81
11,82
2464,82
8900,82
11,83
60,83
335,83
951,83
1038,83
1070,83
1087,83
1091,83
1107,83
1171,83
3213,83
3651,83
4954,83
6575,83
6834,83
6962,83
7332,83
7614,83
8866,83
11,84
483,84
939,84
1420,84
1602,84
2073,84
2368,84
3213,84
3696,84
3891,84
4798,84
5173,84
5182,84
6353,84
7042,84
7955,84
8511,84
9084,84
9360,84
10168,84
10968,84
11,85
331,85
1154,85
4704,85
8830,85
11,86
5723,86
8709,86
11,87
11,88
12,89
77,89
758,89
4094,89
4704,89
5907,89
6151,89
8590,89
12,90
222,90
759,90
1424,90
1429,90
2014,90
2340,90
3120,90
3183,90
4196,90
4773,90
5418,90
8855,90
8936,90
11336,90
12,91
1132,91
1453,91
1652,91
2034,91
2429,91
4883,91
4898,91
7457,91
7480,91
8614,91
12,92
90,92
335,92
954,92
1063,92
1098,92
1343,92
1516,92
2428,92
3391,92
5169,92
5505,92
6218,92
6549,92
6554,92
6566,92
6584,92
6603,92
9051,92
9111,92
9444,92
9490,92
10263,92
12,93
164,93
2117,93
4111,93
5167,93
7999,93
8881,93
12,94
314,94
1195,94
2974,94
3109,94
3807,94
6246,94
6646,94
6775,94
8824,94
12,95
346,95
8358,95
8824,95
12,96
5705,96
6649,96
9773,96
12,97
6415,97
12,98
54,98
5483,98
15,99
2303,99
6547,99
10584,99
15,100
5738,100
9390,100
15,101
11263,101
15,102
7873,102
15,103
15,104
11263,104
15,105
2386,105
15,106
3786,106
7217,106
15,107
8405,107
15,108
19,109
217,109
287,109
1029,109
1247,109
1426,109
1602,109
2178,109
3057,109
6417,109
6653,109
7309,109
9432,109
11091,109
19,110
144,110
328,110
1513,110
2160,110
2262,110
5157,110
5168,110
7972,110
8051,110
8317,110
11216,110
19,111
99,111
3556,111
4801,111
5334,111
5582,111
7777,111
7823,111
7983,111
19,112
1926,112
2992,112
3453,112
6046,112
9753,112
9754,112
10301,112
19,113
4906,113
19,114
434,114
2216,114
4696,114
5500,114
10725,114
19,115
1892,115
3759,115
7323,115
8729,115
9046,115
19,116
732,116
1615,116
1776,116
1897,116
1940,116
2242,116
2252,116
3808,116
4736,116
4901,116
4977,116
5128,116
6113,116
6119,116
6299,116
7039,116
7896,116
20,117
210,117
598,117
608,117
654,117
1161,117
1796,117
1892,117
2344,117
2704,117
2852,117
3168,117
3247,117
3698,117
4066,117
5000,117
5139,117
5583,117
6575,117
6631,117
7318,117
7965,117
9226,117
9471,117
10121,117
10313,117
10523,117
11106,117
20,118
20,119
487,119
1605,119
2234,119
3799,119
7971,119
8627,119
9368,119
20,120
20,121
20,122
1303,122
1345,122
1610,122
2298,122
2389,122
2420,122
3289,122
3504,122
5308,122
5694,122
6029,122
6501,122
7737,122
7864,122
20,123
6186,123
20,124
6225,124
9492,124
20,125
202,125
5047,125
20,126
1794,126
1846,126
2830,126
5931,126
6613,126
8681,126
8720,126
9486,126
22,127
217,127
588,127
1110,127
1198,127
1840,127
2085,127
2179,127
2279,127
2376,127
3884,127
4899,127
4968,127
5304,127
5595,127
5785,127
5911,127
6341,127
6587,127
7068,127
9124,127
11094,127
22,128
937,128
1106,128
1121,128
2404,128
3063,128
5083,128
11491,128
22,129
22,130
6668,130
22,131
22,132
22,133
22,134
22,135
4814,135
22,136
23,137
41,137
42,137
43,137
44,137
45,137
46,137
47,137
51,137
52,137
64,137
67,137
68,137
71,137
72,137
74,137
79,137
80,137
84,137
87,137
88,137
155,137
183,137
227,137
232,137
234,137
250,137
251,137
261,137
277,137
281,137
291,137
292,137
297,137
299,137
302,137
318,137
325,137
327,137
333,137
344,137
363,137
482,137
499,137
504,137
513,137
582,137
611,137
612,137
613,137
614,137
615,137
616,137
617,137
618,137
619,137
620,137
621,137
622,137
623,137
624,137
625,137
626,137
627,137
628,137
629,137
630,137
631,137
632,137
633,137
634,137
635,137
636,137
637,137
638,137
639,137
640,137
641,137
642,137
643,137
644,137
645,137
646,137
647,137
648,137
649,137
650,137
651,137
652,137
653,137
654,137
655,137
656,137
657,137
659,137
660,137
662,137
666,137
669,137
671,137
674,137
678,137
679,137
683,137
693,137
702,137
714,137
727,137
729,137
733,137
746,137
748,137
752,137
767,137
773,137
781,137
787,137
798,137
806,137
828,137
838,137
840,137
841,137
843,137
844,137
848,137
856,137
880,137
894,137
901,137
953,137
958,137
990,137
1013,137
1034,137
